GENESIS-Tabelle: 82111-0001
VGR der Laender (Entstehungsrechnung) - Bruttoinlandsprodukt;;;;;;;;;;;;;;;;;
zu Marktpreisen (nominal): Bundeslaender, Jahre;;;;;;;;;;;;;;;;;
VGR der Laender: Entstehungsrechnung;;;;;;;;;;;;;;;;;
Bruttoinlandsprodukt zu Marktpreisen i.jew.Preisen (Mill. EUR);;;;;;;;;;;;;;;;;
;Bundeslaender;Bundeslaender;Bundeslaender;Bundeslaender;Bundeslaender;Bundeslaender;Bundeslaender;Bundeslaender;Bundeslaender;Bundeslaender;Bundeslaender;Bundeslaender;Bundeslaender;Bundeslaender;Bundeslaender;Bundeslaender;Deutschland
;Baden-Wuerttemberg;Bayern;Berlin;Brandenburg;Bremen;Hamburg;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Nordrhein-Westfalen;Rheinland-Pfalz;Saarland;Sachsen;Sachsen-Anhalt;Schleswig-Holstein;Thueringen;
1991;241787;262142;67843;19563;18745;61145;150118;14070;143341;379622;75795;21269;36476;20337;50622;16927;1579800
1992;254933;281958;74699;24316;19318;63393;158449;17332;152303;400291;79385;22103;45206;25420;53626;22588;1695320
1993;253366;287715;80357;29691;19293;65896;161499;20793;155857;403742;79689;21825;54870;31246;54975;27736;1748550
1994;262749;298661;83168;34316;19959;67958;166003;24137;162541;416209;82818;22859;63700;35987;56819;32408;1830290
1995;272402;307792;85736;37807;20403;69730;170870;26416;164685;431311;86141;23852;70174;38290;58977;34295;1898880
1996;277454;313362;84987;39674;20466;71354;175247;27414;165740;432774;86248;23276;72836;39942;59926;35619;1926320
1997;283106;321244;83729;40490;21110;73951;178951;27859;168968;443231;88933;23759;72809;40922;61259;36769;1967090
1998;291678;334700;83970;41468;21349;75811;182634;28013;174615;454786;89919;24183;73889;41423;62047;37744;2018230
1999;301388;345226;84566;43350;21416;76488;189911;28826;178370;459292;92253;24599;75477;41984;62721;39013;2064880
2000;309550;358740;85336;44685;22361;78127;194512;29127;183839;468890;94125;25412;75524;42430;64149;39673;2116480
2001;323511;372528;86183;45794;23156;82478;201620;29598;187043;479665;94491;25970;77959;43063;66096;40696;2179850
2002;325818;381649;86306;46392;23822;83916;202722;29883;185888;488169;96577;25990;80866;44607;65344;41342;2209290
2003;328749;378328;85474;46715;24438;84234;207924;30136;186701;488368;97106;26233;82509;44905;66125;42136;2220080
2004;332697;390623;85407;47956;24694;86052;210666;30639;191536;501679;100165;27367;84730;45769;67571;43067;2270620
2005;336269;396911;87254;48716;25108;87944;212255;30830;195794;508544;100804;28726;84653;45864;68041;43147;2300860
2006;356956;412903;90412;50820;26285;89173;218924;31670;204466;525442;104636;29896;88779;47899;70119;44869;2393250
2007;377127;433563;94675;53004;27286;92387;227463;33485;213418;558003;109449;31353;92954;50153;71984;46928;2513230
2008;381486;436933;99302;54884;27652;95145;230569;34452;219223;572389;111340;31730;93981;50869;74363;47423;2561740
2009;355496;426706;99267;53627;25162;91715;219496;34101;209828;550378;108359;28690;91168;48530;72241;45513;2460280
2010;384913;450203;103292;56034;26719;94578;227171;34969;222851;566173;114338;30295;95053;51350;73898;48225;2580060
2011;405955;480472;108143;57740;27665;95872;235576;36263;235886;588785;119608;32033;99510;52042;76597;50972;2703120
2012;413689;494015;109910;58993;28871;98017;238020;36710;241513;596332;122724;32277;101520;54220;79837;51612;2758260
2013;424264;509084;112603;60781;29167;102233;243829;38054;245571;608826;125262;31975;104223;55178;81480;53712;2826240
2014;440626;530417;117927;64154;30068;104852;253619;39603;256160;630410;130411;33457;109422;56504;84238;56722;2938590
2015;463709;553662;125249;66125;31099;110340;261686;40516;259246;648986;136978;34346;114124;58093;86260;58440;3048860
2016;475812;578315;133603;68532;31765;111674;273087;41451;278963;664179;140059;34602;118464;59773;89327;60144;3159750
2017;495149;605390;139683;71164;33033;116380;280934;43751;287771;685187;143730;35546;122282;61653;93515;62172;3277340
2018;511420;625161;147057;73722;34294;120332;292016;44914;296164;705066;149148;35961;126364;63504;97074;63804;3386000
